id,cid,catid1,catid2,catid3,tag,blabel,publicview,imgvh,title1,title2,title3,title4,title5,title6,creator1,creator2,creator3,creator4,creator5,creator6,creator7,creator8,creator9,creator10,creator11,creator12,creator13,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,description1,description2,description3,description4,description5,description6,publisher1,publisher2,contributor1,date1,date2,type1,type2,format1,format2,identifier1,identifier2,identifier3,source1,language1,language2,language3,relation1,coverage1,pdffile,pdfsize
1,0,0,0,0,0012_001365_000201,"""Little Footsteps""",Y,650,Little Footsteps,,,,,,,"Barney, J. A. ",,,"Leavitt, M.B.",,,,,,,,,,,,,,,,,,,,,,,,"Boston : White, Smith & Company",,,1873,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 1",English,,,,,0012_001365_000201.pdf,4244010
2,0,0,0,0,0012_001365_000202,"""Little Maggie May""",Y,650,Little Maggie May,,,,,,,"Blampkin, C.",,,"Moore, G.W.",,,,,,,,,,,,,,,,,,,,,,,,New York  : B.W. Hitchcock,,,1863,,Text,,1 score (4 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 2",English,,,,,0012_001365_000202.pdf,2524676
3,0,0,0,0,0012_001365_000203,"""Collection: The Love Lane Galop"", The Rippling Stream Waltz,"" The Ocean Bird Schot""",Y,650,"Collection: The Love Lane Galop, The Rippling Stream Waltz, The Ocean Bird Schottisch, Prima Donna Waltz, Liebe Augustine",,,,,,,"Brown, Francis H.",Jullien,"Reddie, Joseph F.",,,,,,,,,,,,,,,,,,,,,,,,,New York  : Wm. Hall & Son,,,1863,,Text,,1 score (20 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 3",English,,,,,0012_001365_000203.pdf,11993419
4,0,0,0,0,0012_001365_000204,"""Love Among the Roses""",Y,650,Love Among the Roses,,,,,,,"Catlin, E. N.",,,"Delehanty, W.H.",,,,,,,,,,,,,,,,,,,,,,,,Boston : G.D. Russell & Company,,,1869,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 4",English,,,,,0012_001365_000204.pdf,3673659
5,0,0,0,0,0012_001365_000205,"""The Little Church Around the Corner""",Y,650,The Little Church Around the Corner,,,,,,,D. S. Wambold,,,"Cooper, George",,,,,,,,,,,,,,,,,,,,,,,,New York  : J.L. Peters,,,1871,,Text,,1 score (8 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 5",English,,,,,0012_001365_000205.pdf,4984355
6,0,0,0,0,0012_001365_000206,"""Dixie for the Union""",Y,650,Dixie for the Union,,,,,,,"Emmett, Dan D.",,,"Crosby, Frances J. ",,"Lasar, S. ",,,,,,,,,,,,,,,,,,,,,,"New York  : Firth, Pond & Co.",,,1861,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 6",English,,,,,0012_001365_000206.pdf,3479873
7,0,0,0,0,0012_001365_000207,"""Don't Fly Away Birdie""",Y,650,Don't Fly Away Birdie,,,,,,,"Danks, H. P. ",,,"Dean, Gragie",,,,,,,,,,,,,,,,,,,,,,,,New York  : J.W. Smith Jr. & Bro.,,,1875,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 7",English,,,,,0012_001365_000207.pdf,3516660
8,0,0,0,0,0012_001365_000208,"""La Mandla""",Y,650,La Mandla,,,,This Happy Day,,,"Henrion, Paul ",,,"Everest, C.",,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA : Lee & Walker",,,1859,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 8",English,French,,,,0012_001365_000208.pdf,3835098
9,0,0,0,0,0012_001365_000209,"""Eulalie""",Y,650,Eulalie,,,,,,,"Foster, Stephen C",,,"Cornwell, H. S. ",,,,,,,,,,,,,,,,,,,,,,,,New York  : S.T. Gordon,,,1851,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 9",English,,,,,0012_001365_000209.pdf,3436267
10,0,0,0,0,0012_001365_000210,"""I Went to See My Sweetheart"","" as I'd Nothing Else to Do""",Y,650,"I Went to See My Sweetheart, as I'd Nothing Else to Do",,,,,,,"Hatton,  J. L. ",,,"Fry, Herbert",,,,,,,,,,,,,,,,,,,,,,,,New York  : J.L. Peters,,,n.d. (1800/1899),,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 10",English,,,,,0012_001365_000210.pdf,3757296
